              sh-3635  [006] .....   934.485527: funcgraph_exit:       + 24.167 us  |  }
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |  __arm64_sys_openat() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |    do_sys_openat2() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |      getname() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |        getname_flags.part.0() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |          kmem_cache_alloc() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:                   |            __cond_resched() {
              sh-3635  [006] .....   934.485565: funcgraph_entry:        0.125 us   |              rcu_all_qs();
              sh-3635  [006] .....   934.485566: funcgraph_exit:         0.292 us   |            }
              sh-3635  [006] .....   934.485566: funcgraph_entry:        0.084 us   |            should_failslab();
              sh-3635  [006] .....   934.485566: funcgraph_exit:         0.667 us   |          }
              sh-3635  [006] .....   934.485566: funcgraph_entry:                   |          __check_object_size() {
              sh-3635  [006] .....   934.485566: funcgraph_entry:        0.083 us   |            check_stack_object();
              sh-3635  [006] .....   934.485566: funcgraph_entry:        0.083 us   |            is_vmalloc_addr();
              sh-3635  [006] .....   934.485566: funcgraph_entry:                   |            pfn_is_map_memory() {
              sh-3635  [006] .....   934.485566: funcgraph_entry:        0.125 us   |              memblock_is_map_memory();
              sh-3635  [006] .....   934.485567: funcgraph_exit:         0.292 us   |            }
              sh-3635  [006] .....   934.485567: funcgraph_entry:        0.084 us   |            __check_heap_object();
              sh-3635  [006] .....   934.485567: funcgraph_exit:         0.958 us   |          }
              sh-3635  [006] .....   934.485567: funcgraph_exit:         1.958 us   |        }
              sh-3635  [006] .....   934.485567: funcgraph_exit:         2.125 us   |      }
              sh-3635  [006] .....   934.485567: funcgraph_entry:                   |      get_unused_fd_flags() {
              sh-3635  [006] .....   934.485567: funcgraph_entry:                   |        alloc_fd() {
              sh-3635  [006] .....   934.485567: funcgraph_entry:        0.125 us   |          expand_files();
              sh-3635  [006] .....   934.485568: funcgraph_exit:         0.292 us   |        }
              sh-3635  [006] .....   934.485568: funcgraph_exit:         0.458 us   |      }
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |      do_filp_open() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |        path_openat() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |          alloc_empty_file() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |            __alloc_file() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |              kmem_cache_alloc() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:                   |                __cond_resched() {
              sh-3635  [006] .....   934.485568: funcgraph_entry:        0.084 us   |                  rcu_all_qs();
              sh-3635  [006] .....   934.485568: funcgraph_exit:         0.250 us   |                }
              sh-3635  [006] .....   934.485569: funcgraph_entry:        0.125 us   |                should_failslab();
              sh-3635  [006] .....   934.485569: funcgraph_entry:        0.083 us   |                __get_obj_cgroup_from_memcg();
              sh-3635  [006] .....   934.485569: funcgraph_entry:        0.084 us   |                obj_cgroup_charge();
              sh-3635  [006] .....   934.485569: funcgraph_entry:        0.083 us   |                mod_objcg_state();
              sh-3635  [006] .....   934.485569: funcgraph_exit:         1.166 us   |              }
              sh-3635  [006] .....   934.485569: funcgraph_entry:                   |              security_file_alloc() {
